Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches,League,Team,MP
Yago Santiago,es ESP,"FW,MF",20.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,EPL,Tottenham Hotspur,
Alfie Whiteman,eng ENG,GK,24.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,EPL,Tottenham Hotspur,
Vladimír Coufal,cz CZE,DF,30.0,,36,3132.0,34.8,0.0,7.0,7.0,0.0,0.0,0.0,7.0,1.0,0.3,0.3,4.0,4.3,68.0,119.0,126.0,0.0,0.2,0.2,0.0,0.2,0.01,0.11,0.12,0.01,0.12,Matches,EPL,West Ham United,36.0
Emerson Palmieri,it ITA,DF,28.0,,35,3137.0,34.9,1.0,2.0,3.0,1.0,0.0,0.0,10.0,0.0,1.5,1.5,2.4,3.9,59.0,125.0,124.0,0.03,0.06,0.09,0.03,0.09,0.04,0.07,0.11,0.04,0.11,Matches,EPL,West Ham United,36.0
Jarrod Bowen,eng ENG,FW,26.0,,34,3019.0,33.5,16.0,6.0,22.0,16.0,0.0,0.0,2.0,0.0,11.6,11.6,5.5,17.2,90.0,52.0,186.0,0.48,0.18,0.66,0.48,0.66,0.35,0.16,0.51,0.35,0.51,Matches,EPL,West Ham United,34.0
James Ward-Prowse,eng ENG,MF,28.0,,34,3001.0,33.3,7.0,7.0,14.0,5.0,2.0,2.0,4.0,0.0,6.0,4.4,7.8,12.3,18.0,144.0,63.0,0.21,0.21,0.42,0.15,0.36,0.18,0.23,0.41,0.13,0.37,Matches,EPL,West Ham United,37.0
Tomáš Souček,cz CZE,MF,28.0,,34,2870.0,31.9,7.0,2.0,9.0,7.0,0.0,0.0,7.0,0.0,6.7,6.7,1.7,8.4,7.0,86.0,39.0,0.22,0.06,0.28,0.22,0.28,0.21,0.05,0.26,0.21,0.26,Matches,EPL,West Ham United,37.0
Kurt Zouma,fr FRA,DF,28.0,,32,2838.0,31.5,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,1.8,1.8,0.2,2.0,7.0,53.0,1.0,0.1,0.0,0.1,0.1,0.1,0.06,0.01,0.06,0.06,0.06,Matches,EPL,West Ham United,33.0
Alphonse Areola,fr FRA,GK,30.0,,31,2699.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,EPL,West Ham United,31.0
Lucas Paquetá,br BRA,"FW,MF",25.0,,31,2622.0,29.1,4.0,6.0,10.0,2.0,2.0,2.0,10.0,0.0,5.4,3.8,5.4,9.2,34.0,187.0,116.0,0.14,0.21,0.34,0.07,0.27,0.18,0.18,0.37,0.13,0.32,Matches,EPL,West Ham United,31.0
Edson Álvarez,mx MEX,MF,25.0,,28,2377.0,26.4,1.0,1.0,2.0,1.0,0.0,0.0,11.0,0.0,1.3,1.3,0.6,1.9,20.0,91.0,26.0,0.04,0.04,0.08,0.04,0.08,0.05,0.02,0.07,0.05,0.07,Matches,EPL,West Ham United,31.0
Mohammed Kudus,gh GHA,"FW,MF",22.0,,27,2484.0,27.6,8.0,6.0,14.0,8.0,0.0,0.0,6.0,0.0,5.1,5.1,3.5,8.6,117.0,80.0,216.0,0.29,0.22,0.51,0.29,0.51,0.19,0.13,0.31,0.19,0.31,Matches,EPL,West Ham United,33.0
Nayef Aguerd,ma MAR,DF,27.0,,21,1857.0,20.6,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.5,1.5,0.3,1.8,10.0,68.0,3.0,0.05,0.0,0.05,0.05,0.05,0.07,0.01,0.09,0.07,0.09,Matches,EPL,West Ham United,21.0
Michail Antonio,jm JAM,FW,33.0,,21,1695.0,18.8,6.0,2.0,8.0,6.0,0.0,0.0,6.0,0.0,5.8,5.8,0.9,6.7,48.0,22.0,104.0,0.32,0.11,0.42,0.32,0.42,0.31,0.05,0.35,0.31,0.35,Matches,EPL,West Ham United,26.0
Konstantinos Mavropanos,gr GRE,DF,25.0,,16,1500.0,16.7,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.2,1.2,0.2,1.4,10.0,38.0,2.0,0.06,0.0,0.06,0.06,0.06,0.07,0.01,0.08,0.07,0.08,Matches,EPL,West Ham United,19.0
Łukasz Fabiański,pl POL,GK,38.0,,7,721.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,EPL,West Ham United,10.0
Angelo Ogbonna,it ITA,DF,35.0,,7,635.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,EPL,West Ham United,11.0
Saïd Benrahma,dz ALG,"FW,MF",27.0,,5,620.0,6.9,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.8,1.0,1.4,2.5,28.0,28.0,70.0,0.0,0.15,0.15,0.0,0.15,0.27,0.21,0.47,0.15,0.36,Matches,EPL,West Ham United,13.0
Ben Johnson,eng ENG,"DF,FW",23.0,,4,544.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,17.0,22.0,33.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,EPL,West Ham United,14.0
Aaron Cresswell,eng ENG,"DF,FW",33.0,,4,436.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,4.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,EPL,West Ham United,11.0
Pablo Fornals,es ESP,"MF,FW",27.0,,4,426.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,4.0,29.0,27.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.13,0.07,0.13,Matches,EPL,West Ham United,15.0
Danny Ings,eng ENG,FW,31.0,,3,404.0,4.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.3,1.3,0.3,1.5,7.0,8.0,29.0,0.22,0.0,0.22,0.22,0.22,0.28,0.06,0.34,0.28,0.34,Matches,EPL,West Ham United,20.0
Kalvin Phillips,eng ENG,MF,27.0,,3,309.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.1,0.1,0.0,0.1,3.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,EPL,West Ham United,8.0
Maxwel Cornet,ci CIV,"MF,FW",26.0,,1,112.0,1.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.6,3.0,2.0,8.0,0.8,0.0,0.8,0.8,0.8,0.32,0.13,0.46,0.32,0.46,Matches,EPL,West Ham United,7.0
Divin Mubama,eng ENG,FW,18.0,,0,80.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.17,Matches,EPL,West Ham United,5.0
George Earthy,eng ENG,FW,18.0,,0,34.0,0.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,1.0,3.0,2.65,0.0,2.65,2.65,2.65,0.82,0.0,0.82,0.82,0.82,Matches,EPL,West Ham United,3.0
Thilo Kehrer,de GER,"DF,MF",26.0,,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,EPL,West Ham United,4.0
Kaelan Casey,eng ENG,DF,18.0,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,EPL,West Ham United,1.0
Joseph Anang,eng ENG,GK,23.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,EPL,West Ham United,0.0
Conor Coventry,ie IRL,MF,23.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,EPL,West Ham United,0.0
Levi Laing,eng ENG,DF,20.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,EPL,West Ham United,0.0
Callum Marshall,nir NIR,DF,18.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,EPL,West Ham United,0.0
Lewis Orford,eng ENG,MF,17.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,EPL,West Ham United,0.0
Oliver Scarles,eng ENG,DF,17.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,EPL,West Ham United,0.0
Max Kilman,eng ENG,DF,26.0,,38,3420.0,38.0,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,1.8,1.8,1.4,3.2,22.0,117.0,5.0,0.05,0.0,0.05,0.05,0.05,0.05,0.04,0.08,0.05,0.08,Matches,EPL,Wolverhampton,38.0
Nélson Semedo,pt POR,"DF,MF",29.0,,36,3084.0,34.3,0.0,1.0,1.0,0.0,0.0,0.0,10.0,1.0,1.3,1.3,1.7,3.0,103.0,138.0,150.0,0.0,0.03,0.03,0.0,0.03,0.04,0.05,0.09,0.04,0.09,Matches,EPL,Wolverhampton,36.0
José Sá,pt POR,GK,30.0,,35,3037.0,33.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,Matches,EPL,Wolverhampton,35.0
Mario Lemina,ga GAB,MF,29.0,,34,2968.0,33.0,4.0,1.0,5.0,4.0,0.0,0.0,12.0,1.0,4.6,4.6,1.5,6.2,32.0,76.0,49.0,0.12,0.03,0.15,0.12,0.15,0.14,0.05,0.19,0.14,0.19,Matches,EPL,Wolverhampton,35.0
João Gomes,br BRA,MF,22.0,,32,2649.0,29.4,2.0,1.0,3.0,2.0,0.0,0.0,11.0,0.0,1.7,1.7,1.1,2.8,28.0,101.0,44.0,0.07,0.03,0.1,0.07,0.1,0.06,0.04,0.1,0.06,0.1,Matches,EPL,Wolverhampton,34.0
Toti Gomes,pt POR,DF,24.0,,31,2772.0,30.8,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,1.6,1.6,1.2,2.8,22.0,79.0,11.0,0.03,0.1,0.13,0.03,0.13,0.05,0.04,0.09,0.05,0.09,Matches,EPL,Wolverhampton,35.0
Matheus Cunha,br BRA,"FW,MF",24.0,,29,2440.0,27.1,12.0,7.0,19.0,11.0,1.0,1.0,9.0,0.0,9.5,8.7,3.2,11.9,107.0,87.0,139.0,0.44,0.26,0.7,0.41,0.66,0.35,0.12,0.47,0.32,0.44,Matches,EPL,Wolverhampton,32.0
Rayan Aït-Nouri,dz ALG,"DF,MF",22.0,,29,2329.0,25.9,2.0,1.0,3.0,2.0,0.0,0.0,7.0,0.0,3.3,3.3,2.4,5.6,67.0,99.0,99.0,0.08,0.04,0.12,0.08,0.12,0.13,0.09,0.22,0.13,0.22,Matches,EPL,Wolverhampton,33.0
Craig Dawson,eng ENG,DF,33.0,,25,2209.0,24.5,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,1.5,1.5,1.4,2.9,1.0,49.0,4.0,0.04,0.04,0.08,0.04,0.08,0.06,0.06,0.12,0.06,0.12,Matches,EPL,Wolverhampton,25.0
Hwang Hee-chan,kr KOR,"FW,MF",27.0,,25,2119.0,23.5,12.0,3.0,15.0,11.0,1.0,1.0,6.0,0.0,7.7,6.9,3.0,9.9,37.0,37.0,120.0,0.51,0.13,0.64,0.47,0.59,0.33,0.13,0.45,0.29,0.42,Matches,EPL,Wolverhampton,29.0
Pablo Sarabia,es ESP,"MF,FW",31.0,,20,1745.0,19.4,4.0,7.0,11.0,2.0,2.0,2.0,5.0,0.0,5.5,3.9,5.9,9.8,41.0,109.0,137.0,0.21,0.36,0.57,0.1,0.46,0.28,0.3,0.59,0.2,0.5,Matches,EPL,Wolverhampton,30.0
Pedro Neto,pt POR,"FW,MF",23.0,,18,1516.0,16.8,2.0,9.0,11.0,2.0,0.0,0.0,4.0,0.0,3.5,3.5,4.4,7.9,98.0,54.0,149.0,0.12,0.53,0.65,0.12,0.65,0.21,0.26,0.47,0.21,0.47,Matches,EPL,Wolverhampton,20.0
Tommy Doyle,eng ENG,MF,21.0,,11,1222.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.4,0.9,21.0,81.0,17.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,EPL,Wolverhampton,26.0
Jean-Ricner Bellegarde,fr FRA,"MF,FW",25.0,,10,958.0,10.6,2.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,1.6,1.6,1.0,2.5,30.0,39.0,49.0,0.19,0.09,0.28,0.19,0.28,0.15,0.09,0.24,0.15,0.24,Matches,EPL,Wolverhampton,22.0
Matt Doherty,ie IRL,"DF,MF",31.0,,9,1150.0,12.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,1.3,2.2,12.0,31.0,64.0,0.08,0.0,0.08,0.08,0.08,0.07,0.1,0.17,0.07,0.17,Matches,EPL,Wolverhampton,30.0
Santiago Bueno,uy URU,DF,24.0,,9,822.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,3.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,EPL,Wolverhampton,12.0
Boubacar Traoré,ml MLI,MF,21.0,,7,819.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.4,0.7,9.0,29.0,15.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07,Matches,EPL,Wolverhampton,24.0
Hugo Bueno,es ESP,"DF,MF",20.0,,7,741.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.8,1.0,22.0,8.0,40.0,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.13,0.03,0.13,Matches,EPL,Wolverhampton,22.0
Daniel Bentley,eng ENG,GK,30.0,,3,383.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,EPL,Wolverhampton,5.0
Fábio Silva,pt POR,FW,21.0,,3,264.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.2,1.2,5.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.35,0.07,0.42,0.35,0.42,Matches,EPL,Wolverhampton,8.0
Matheus Nunes,pt POR,MF,24.0,,2,179.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,0.1,0.2,7.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.04,0.09,Matches,EPL,Wolverhampton,2.0
Leon Chiwome,eng ENG,FW,17.0,,2,174.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,EPL,Wolverhampton,3.0
Nathan Fraser,ie IRL,FW,18.0,,1,186.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,1.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.16,0.04,0.19,0.16,0.19,Matches,EPL,Wolverhampton,7.0
Sasa Kalajdzic,at AUT,FW,26.0,,1,166.0,1.8,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.1,1.1,1.0,2.0,1.0,5.0,9.0,1.08,0.0,1.08,1.08,1.08,0.57,0.52,1.09,0.57,1.09,Matches,EPL,Wolverhampton,11.0
Tawanda Chirewa,zw ZIM,"MF,FW",19.0,,1,145.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,1.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.12,0.1,0.12,Matches,EPL,Wolverhampton,8.0
Jonny Castro,es ESP,MF,29.0,,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,EPL,Wolverhampton,1.0
Enso Gonzalez,py PAR,"MF,DF",18.0,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,EPL,Wolverhampton,1.0
Ty Barnett,eng ENG,FW,18.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,EPL,Wolverhampton,0.0
Harvey Griffiths,eng ENG,MF,19.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,EPL,Wolverhampton,0.0
Owen Hesketh,wls WAL,MF,20.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,EPL,Wolverhampton,0.0
Joseph Hodge,ie IRL,MF,20.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,EPL,Wolverhampton,0.0
Fletcher Holman,eng ENG,FW,18.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,EPL,Wolverhampton,0.0
Justin Hubner,id IDN,DF,19.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,EPL,Wolverhampton,0.0
Tom King,wls WAL,GK,28.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,EPL,Wolverhampton,0.0
Noha Lemina,fr FRA,FW,18.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,EPL,Wolverhampton,0.0
Yerson Mosquera,co COL,DF,22.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,EPL,Wolverhampton,0.0
Temple Ojinnaka,it ITA,MF,18.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,EPL,Wolverhampton,0.0
Wesley Okoduwa,eng ENG,FW,15.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,EPL,Wolverhampton,0.0
Matthew Whittingham,eng ENG,MF,18.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,EPL,Wolverhampton,0.0
Max Kilman,eng ENG,DF,26.0,,38,3420.0,38.0,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,1.8,1.8,1.4,3.2,22.0,117.0,5.0,0.05,0.0,0.05,0.05,0.05,0.05,0.04,0.08,0.05,0.08,Matches,EPL,Wolverhampton Wanderers,38.0
Nélson Semedo,pt POR,"DF,MF",29.0,,36,3084.0,34.3,0.0,1.0,1.0,0.0,0.0,0.0,10.0,1.0,1.3,1.3,1.7,3.0,103.0,138.0,150.0,0.0,0.03,0.03,0.0,0.03,0.04,0.05,0.09,0.04,0.09,Matches,EPL,Wolverhampton Wanderers,36.0
José Sá,pt POR,GK,30.0,,35,3037.0,33.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,Matches,EPL,Wolverhampton Wanderers,35.0
Mario Lemina,ga GAB,MF,29.0,,34,2968.0,33.0,4.0,1.0,5.0,4.0,0.0,0.0,12.0,1.0,4.6,4.6,1.5,6.2,32.0,76.0,49.0,0.12,0.03,0.15,0.12,0.15,0.14,0.05,0.19,0.14,0.19,Matches,EPL,Wolverhampton Wanderers,35.0
João Gomes,br BRA,MF,22.0,,32,2649.0,29.4,2.0,1.0,3.0,2.0,0.0,0.0,11.0,0.0,1.7,1.7,1.1,2.8,28.0,101.0,44.0,0.07,0.03,0.1,0.07,0.1,0.06,0.04,0.1,0.06,0.1,Matches,EPL,Wolverhampton Wanderers,34.0
Toti Gomes,pt POR,DF,24.0,,31,2772.0,30.8,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,1.6,1.6,1.2,2.8,22.0,79.0,11.0,0.03,0.1,0.13,0.03,0.13,0.05,0.04,0.09,0.05,0.09,Matches,EPL,Wolverhampton Wanderers,35.0
Matheus Cunha,br BRA,"FW,MF",24.0,,29,2440.0,27.1,12.0,7.0,19.0,11.0,1.0,1.0,9.0,0.0,9.5,8.7,3.2,11.9,107.0,87.0,139.0,0.44,0.26,0.7,0.41,0.66,0.35,0.12,0.47,0.32,0.44,Matches,EPL,Wolverhampton Wanderers,32.0
Rayan Aït-Nouri,dz ALG,"DF,MF",22.0,,29,2329.0,25.9,2.0,1.0,3.0,2.0,0.0,0.0,7.0,0.0,3.3,3.3,2.4,5.6,67.0,99.0,99.0,0.08,0.04,0.12,0.08,0.12,0.13,0.09,0.22,0.13,0.22,Matches,EPL,Wolverhampton Wanderers,33.0
Craig Dawson,eng ENG,DF,33.0,,25,2209.0,24.5,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,1.5,1.5,1.4,2.9,1.0,49.0,4.0,0.04,0.04,0.08,0.04,0.08,0.06,0.06,0.12,0.06,0.12,Matches,EPL,Wolverhampton Wanderers,25.0
Hwang Hee-chan,kr KOR,"FW,MF",27.0,,25,2119.0,23.5,12.0,3.0,15.0,11.0,1.0,1.0,6.0,0.0,7.7,6.9,3.0,9.9,37.0,37.0,120.0,0.51,0.13,0.64,0.47,0.59,0.33,0.13,0.45,0.29,0.42,Matches,EPL,Wolverhampton Wanderers,29.0
Pablo Sarabia,es ESP,"MF,FW",31.0,,20,1745.0,19.4,4.0,7.0,11.0,2.0,2.0,2.0,5.0,0.0,5.5,3.9,5.9,9.8,41.0,109.0,137.0,0.21,0.36,0.57,0.1,0.46,0.28,0.3,0.59,0.2,0.5,Matches,EPL,Wolverhampton Wanderers,30.0
Pedro Neto,pt POR,"FW,MF",23.0,,18,1516.0,16.8,2.0,9.0,11.0,2.0,0.0,0.0,4.0,0.0,3.5,3.5,4.4,7.9,98.0,54.0,149.0,0.12,0.53,0.65,0.12,0.65,0.21,0.26,0.47,0.21,0.47,Matches,EPL,Wolverhampton Wanderers,20.0
Tommy Doyle,eng ENG,MF,21.0,,11,1222.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.4,0.9,21.0,81.0,17.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,EPL,Wolverhampton Wanderers,26.0
Jean-Ricner Bellegarde,fr FRA,"MF,FW",25.0,,10,958.0,10.6,2.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,1.6,1.6,1.0,2.5,30.0,39.0,49.0,0.19,0.09,0.28,0.19,0.28,0.15,0.09,0.24,0.15,0.24,Matches,EPL,Wolverhampton Wanderers,22.0
Matt Doherty,ie IRL,"DF,MF",31.0,,9,1150.0,12.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,1.3,2.2,12.0,31.0,64.0,0.08,0.0,0.08,0.08,0.08,0.07,0.1,0.17,0.07,0.17,Matches,EPL,Wolverhampton Wanderers,30.0
