Player,Nation,Squad,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Position_2,Position,League
Julián Álvarez,ARG,Manchester City,23,2000,29.4,118,4.01,74,28,4,10,2,0,15,0.51,12,1,0,0,2,0,Forward,Midfielder,Premier League
Yeray Álvarez,ESP,Athletic Club,28,1995,12.8,10,0.78,8,2,0,0,0,0,2,0.16,2,0,0,0,0,0,,Defender,La Liga
Skelly Alvero,FRA,Lyon,21,2002,4.7,12,2.54,7,1,1,2,1,0,0,0.00,0,0,0,0,0,0,,Midfielder,Ligue 1
Skelly Alvero,FRA,Werder Bremen,21,2002,1.4,4,2.90,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Midfielder,Bundesliga
Papa Amadou Diallo,SEN,Metz,19,2004,9.9,20,2.02,18,0,0,1,0,1,1,0.10,1,0,0,0,0,0,,Forward,Ligue 1
Selim Amallah,MAR,Valencia,26,1996,6.7,14,2.09,7,0,3,0,4,0,1,0.15,1,0,0,0,0,0,Midfielder,Forward,La Liga
Amath,SEN,Mallorca,27,1996,4.4,17,3.87,6,0,5,2,3,1,0,0.00,0,0,0,0,0,0,Midfielder,Forward,La Liga
Lorenzo Amatucci,ITA,Fiorentina,19,2004,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Midfielder,Serie A
Jordan Amavi,FRA,Brest,29,1994,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Defender,Ligue 1
Zeki Amdouni,SUI,Burnley,22,2000,21.7,50,2.30,30,0,5,7,5,3,4,0.18,1,0,2,0,1,0,,Forward,Premier League
Kelvin Amian,FRA,Nantes,25,1998,8.9,8,0.90,8,0,0,0,0,0,1,0.11,1,0,0,0,0,0,,Defender,Ligue 1
Bruno Amione,ARG,Hellas Verona,21,2002,6.4,3,0.47,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Defender,Serie A
Player,,Squad,Ag,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,,Po,Bundesliga
Michael Amir Murillo,PAN,Marseille,27,1996,11.1,15,1.35,9,1,1,0,2,2,3,0.27,3,0,0,0,0,0,,Defender,Ligue 1
Nadiem Amiri,GER,Mainz 05,26,1996,14.6,91,6.23,34,43,6,1,4,3,11,0.75,6,4,1,0,0,0,,Midfielder,Bundesliga
Nadiem Amiri,GER,Leverkusen,26,1996,1.0,1,1.02,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Midfielder,Bundesliga
Kofi Amoako,GER,Wolfsburg,18,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Midfielder,Bundesliga
Sofyan Amrabat,MAR,Manchester Utd,26,1996,10.4,19,1.82,19,0,0,0,0,0,1,0.10,1,0,0,0,0,0,Defender,Midfielder,Premier League
Joachim Andersen,DEN,Crystal Palace,27,1996,37.9,47,1.24,41,1,0,3,0,2,5,0.13,5,0,0,0,0,0,,Defender,Premier League
Elliot Anderson,SCO,Newcastle Utd,20,2002,11.4,34,2.98,28,0,4,2,0,0,3,0.26,3,0,0,0,0,0,Forward,Midfielder,Premier League
Felipe Anderson,BRA,Lazio,30,1993,30.8,92,2.99,76,2,4,5,2,3,12,0.39,10,0,1,0,0,1,Midfielder,Forward,Serie A
Benjamin André,FRA,Lille,32,1990,28.6,49,1.72,41,1,0,0,5,2,3,0.11,1,0,0,0,2,0,,Midfielder,Ligue 1
Komnen Andrić,SRB,Clermont Foot,28,1995,1.9,6,3.20,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0,,Forward,Ligue 1
Robert Andrich,GER,Leverkusen,28,1994,18.8,54,2.88,47,0,0,4,2,1,6,0.32,6,0,0,0,0,0,Defender,Midfielder,Bundesliga
Miguel Ángel Rubio,ESP,Granada,25,1998,17.3,6,0.35,5,0,1,0,0,0,1,0.06,1,0,0,0,0,0,,Defender,La Liga
Angeliño,ESP,Roma,26,1997,12.7,33,2.60,30,2,0,1,0,0,3,0.24,3,0,0,0,0,0,,Defender,Serie A
Fabrizio Angileri,ARG,Getafe,29,1994,1.8,9,4.91,8,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Midfielder,Defender,La Liga
Jaidon Anthony,ENG,Bournemouth,23,1999,1.7,3,1.78,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,,Forward,Premier League
Waldemar Anton,GER,Stuttgart,27,1996,32.1,39,1.22,33,0,0,4,1,1,9,0.28,8,0,0,1,0,0,,Defender,Bundesliga
Michail Antonio,JAM,West Ham,33,1990,18.8,33,1.75,18,1,5,3,4,2,5,0.27,4,0,1,0,0,0,,Forward,Premier League
Antony,BRA,Manchester Utd,23,2000,14.7,55,3.74,45,1,2,0,4,3,3,0.20,1,0,0,0,0,2,,Forward,Premier League
